borough,animal_recovered,year_and_month
lambeth,not recovered,oct-2017
westminster,recovered,oct-2017
havering,recovered,oct-2017
haringey,recovered,nov-2017
richmond upon thames,not recovered,nov-2017
enfield,not recovered,nov-2017
westminster,not recovered,nov-2017
tower hamlets,not recovered,nov-2017
bromley,not recovered,nov-2017
hammersmith and fulham,not recovered,nov-2017
lambeth,not recovered,nov-2017
newham,not recovered,nov-2017
bromley,not recovered,nov-2017
waltham forest,not recovered,dec-2017
haringey,not recovered,dec-2017
harrow,not recovered,dec-2017
lambeth,not recovered,dec-2017
barnet,not recovered,dec-2017
kensington and chelsea,not recovered,dec-2017
hillingdon,not recovered,dec-2017
westminster,not recovered,dec-2017
hillingdon,not recovered,dec-2017
westminster,not recovered,dec-2017
tower hamlets,not recovered,dec-2017
wandsworth,not recovered,dec-2017
islington,not recovered,dec-2017
hillingdon,not recovered,dec-2017
hillingdon,not recovered,dec-2017
brent,recovered,dec-2017
hillingdon,not recovered,jan-2018
tower hamlets,not recovered,jan-2018
barnet,not recovered,jan-2018
redbridge,not recovered,jan-2018
ealing,not recovered,jan-2018
hackney,not recovered,jan-2018
bexley,not recovered,jan-2018
hounslow,not recovered,jan-2018
bromley,not recovered,jan-2018
camden,not recovered,jan-2018
greenwich,not recovered,jan-2018
waltham forest,not recovered,jan-2018
lewisham,not recovered,jan-2018
lewisham,not recovered,jan-2018
lambeth,not recovered,jan-2018
haringey,not recovered,jan-2018
lewisham,not recovered,feb-2018
enfield,not recovered,feb-2018
enfield,not recovered,feb-2018
sutton,not recovered,feb-2018
enfield,not recovered,feb-2018
islington,not recovered,feb-2018
lewisham,not recovered,feb-2018
havering,not recovered,feb-2018
havering,not recovered,feb-2018
bromley,not recovered,feb-2018
enfield,not recovered,feb-2018
westminster,not recovered,feb-2018
lambeth,not recovered,feb-2018
wandsworth,not recovered,feb-2018
lambeth,not recovered,feb-2018
lewisham,recovered,feb-2018
lewisham,not recovered,feb-2018
tower hamlets,not recovered,feb-2018
hounslow,not recovered,feb-2018
harrow,not recovered,feb-2018
bexley,not recovered,feb-2018
lambeth,recovered,mar-2018
waltham forest,not recovered,mar-2018
camden,not recovered,mar-2018
islington,not recovered,mar-2018
merton,not recovered,mar-2018
camden,not recovered,mar-2018
bromley,not recovered,mar-2018
newham,not recovered,mar-2018
barking and dagenham,not recovered,mar-2018
barnet,not recovered,mar-2018
barking and dagenham,not recovered,mar-2018
ealing,recovered,mar-2018
hounslow,not recovered,mar-2018
haringey,not recovered,mar-2018
havering,not recovered,mar-2018
croydon,not recovered,mar-2018
hillingdon,not recovered,mar-2018
haringey,not recovered,mar-2018
bexley,not recovered,mar-2018
harrow,not recovered,mar-2018
hackney,recovered,apr-2018
waltham forest,not recovered,apr-2018
haringey,not recovered,apr-2018
ealing,not recovered,apr-2018
hammersmith and fulham,not recovered,apr-2018
southwark,not recovered,apr-2018
enfield,not recovered,apr-2018
southwark,not recovered,apr-2018
havering,not recovered,apr-2018
lewisham,not recovered,apr-2018
kensington and chelsea,not recovered,apr-2018
lambeth,not recovered,apr-2018
lambeth,not recovered,apr-2018
barnet,not recovered,apr-2018
croydon,not recovered,apr-2018
havering,not recovered,apr-2018
southwark,not recovered,apr-2018
barking and dagenham,not recovered,apr-2018
croydon,not recovered,may-2018
havering,not recovered,may-2018
barking and dagenham,not recovered,may-2018
croydon,not recovered,may-2018
hammersmith and fulham,not recovered,may-2018
bromley,not recovered,may-2018
hammersmith and fulham,not recovered,may-2018
waltham forest,not recovered,may-2018
hounslow,not recovered,may-2018
camden,not recovered,may-2018
southwark,not recovered,may-2018
croydon,not recovered,may-2018
haringey,not recovered,may-2018
barnet,not recovered,may-2018
lewisham,not recovered,may-2018
wandsworth,recovered,may-2018
wandsworth,recovered,may-2018
barnet,not recovered,may-2018
barking and dagenham,not recovered,may-2018
greenwich,not recovered,may-2018
tower hamlets,not recovered,may-2018
tower hamlets,not recovered,may-2018
ealing,not recovered,may-2018
tower hamlets,not recovered,may-2018
tower hamlets,not recovered,jun-2018
ealing,not recovered,jun-2018
westminster,not recovered,jun-2018
enfield,not recovered,jun-2018
bromley,recovered,jun-2018
hammersmith and fulham,recovered,jun-2018
ealing,not recovered,jun-2018
newham,not recovered,jun-2018
tower hamlets,recovered,jun-2018
bromley,not recovered,jun-2018
lambeth,not recovered,jun-2018
islington,recovered,jun-2018
kensington and chelsea,not recovered,jun-2018
hammersmith and fulham,not recovered,jun-2018
camden,not recovered,jun-2018
croydon,not recovered,jun-2018
hammersmith and fulham,not recovered,jun-2018
newham,recovered,jun-2018
camden,not recovered,jun-2018
hackney,not recovered,jun-2018
newham,not recovered,jun-2018
islington,not recovered,jul-2018
croydon,not recovered,jul-2018
havering,not recovered,jul-2018
lewisham,not recovered,jul-2018
lewisham,not recovered,jul-2018
kensington and chelsea,not recovered,jul-2018
harrow,not recovered,jul-2018
enfield,not recovered,jul-2018
redbridge,not recovered,jul-2018
sutton,not recovered,jul-2018
hammersmith and fulham,not recovered,jul-2018
hammersmith and fulham,not recovered,jul-2018
bromley,recovered,jul-2018
lambeth,not recovered,jul-2018
lambeth,not recovered,jul-2018
southwark,not recovered,jul-2018
brent,not recovered,jul-2018
croydon,not recovered,jul-2018
richmond upon thames,not recovered,jul-2018
barking and dagenham,not recovered,jul-2018
barnet,not recovered,jul-2018
redbridge,not recovered,jul-2018
lewisham,not recovered,aug-2018
enfield,not recovered,aug-2018
westminster,recovered,aug-2018
lambeth,not recovered,aug-2018
bexley,recovered,aug-2018
kensington and chelsea,not recovered,aug-2018
barnet,not recovered,aug-2018
barnet,not recovered,aug-2018
barnet,not recovered,aug-2018
hounslow,not recovered,aug-2018
bexley,recovered,aug-2018
bexley,recovered,aug-2018
havering,not recovered,aug-2018
kensington and chelsea,not recovered,aug-2018
harrow,not recovered,aug-2018
ealing,not recovered,aug-2018
bromley,recovered,aug-2018
merton,recovered,aug-2018
bromley,recovered,aug-2018
redbridge,not recovered,aug-2018
wandsworth,not recovered,aug-2018
harrow,not recovered,aug-2018
greenwich,not recovered,aug-2018
barnet,not recovered,sep-2018
barnet,not recovered,sep-2018
havering,not recovered,sep-2018
croydon,not recovered,sep-2018
islington,not recovered,sep-2018
enfield,not recovered,sep-2018
westminster,not recovered,sep-2018
croydon,not recovered,sep-2018
havering,not recovered,sep-2018
hounslow,not recovered,sep-2018
harrow,recovered,sep-2018
ealing,not recovered,sep-2018
wandsworth,not recovered,sep-2018
ealing,not recovered,sep-2018
tower hamlets,not recovered,sep-2018
lewisham,not recovered,sep-2018
lewisham,not recovered,sep-2018
havering,not recovered,sep-2018
havering,not recovered,sep-2018
barnet,recovered,sep-2018
ealing,not recovered,sep-2018
southwark,not recovered,sep-2018
hackney,not recovered,sep-2018
ealing,not recovered,sep-2018
haringey,not recovered,sep-2018
southwark,not recovered,sep-2018
barking and dagenham,not recovered,sep-2018
hackney,not recovered,sep-2018
brent,not recovered,sep-2018
haringey,not recovered,sep-2018
southwark,not recovered,oct-2018
hammersmith and fulham,not recovered,oct-2018
westminster,not recovered,oct-2018
redbridge,not recovered,oct-2018
barking and dagenham,not recovered,oct-2018
westminster,not recovered,oct-2018
islington,not recovered,oct-2018
havering,not recovered,oct-2018
bromley,not recovered,oct-2018
westminster,recovered,oct-2018
greenwich,not recovered,oct-2018
hackney,not recovered,oct-2018
tower hamlets,not recovered,oct-2018
westminster,not recovered,oct-2018
westminster,not recovered,oct-2018
merton,not recovered,oct-2018
haringey,not recovered,oct-2018
croydon,not recovered,oct-2018
tower hamlets,not recovered,oct-2018
newham,not recovered,oct-2018
camden,not recovered,oct-2018
islington,not recovered,oct-2018
barnet,not recovered,nov-2018
tower hamlets,not recovered,nov-2018
croydon,not recovered,nov-2018
croydon,not recovered,nov-2018
kensington and chelsea,recovered,nov-2018
hillingdon,not recovered,nov-2018
ealing,not recovered,nov-2018
camden,not recovered,nov-2018
waltham forest,not recovered,nov-2018
hillingdon,not recovered,nov-2018
southwark,not recovered,nov-2018
merton,not recovered,nov-2018
westminster,not recovered,nov-2018
barnet,not recovered,nov-2018
southwark,not recovered,dec-2018
barking and dagenham,not recovered,dec-2018
haringey,not recovered,dec-2018
havering,not recovered,dec-2018
waltham forest,not recovered,dec-2018
lambeth,not recovered,dec-2018
greenwich,not recovered,dec-2018
hackney,not recovered,dec-2018
enfield,not recovered,dec-2018
redbridge,not recovered,dec-2018
hounslow,not recovered,dec-2018
kensington and chelsea,not recovered,dec-2018
lambeth,recovered,dec-2018
lambeth,not recovered,dec-2018
merton,recovered,dec-2018
haringey,not recovered,dec-2018
enfield,not recovered,dec-2018
islington,not recovered,dec-2018
lewisham,not recovered,dec-2018
lambeth,not recovered,dec-2018
islington,not recovered,dec-2018
westminster,not recovered,dec-2018
croydon,not recovered,dec-2018
brent,not recovered,dec-2018
redbridge,not recovered,dec-2018
merton,not recovered,jan-2019
barnet,not recovered,jan-2019
islington,not recovered,jan-2019
greenwich,not recovered,jan-2019
enfield,not recovered,jan-2019
camden,not recovered,jan-2019
westminster,not recovered,jan-2019
hillingdon,not recovered,jan-2019
hammersmith and fulham,not recovered,jan-2019
brent,not recovered,jan-2019
greenwich,not recovered,jan-2019
havering,not recovered,jan-2019
tower hamlets,not recovered,jan-2019
merton,recovered,jan-2019
tower hamlets,not recovered,jan-2019
enfield,not recovered,jan-2019
haringey,not recovered,jan-2019
southwark,not recovered,jan-2019
hackney,not recovered,jan-2019
hounslow,not recovered,jan-2019
tower hamlets,not recovered,jan-2019
westminster,not recovered,jan-2019
barnet,not recovered,feb-2019
kensington and chelsea,not recovered,feb-2019
haringey,not recovered,feb-2019
westminster,not recovered,feb-2019
haringey,not recovered,feb-2019
lewisham,not recovered,feb-2019
islington,not recovered,feb-2019
kensington and chelsea,recovered,feb-2019
havering,recovered,feb-2019
redbridge,recovered,feb-2019
brent,not recovered,feb-2019
islington,not recovered,feb-2019
haringey,not recovered,feb-2019
croydon,not recovered,feb-2019
hounslow,not recovered,feb-2019
wandsworth,not recovered,feb-2019
tower hamlets,not recovered,feb-2019
hounslow,not recovered,feb-2019
croydon,not recovered,feb-2019
waltham forest,not recovered,feb-2019
southwark,not recovered,mar-2019
hackney,not recovered,mar-2019
bexley,not recovered,mar-2019
waltham forest,not recovered,mar-2019
hammersmith and fulham,not recovered,mar-2019
hackney,not recovered,mar-2019
richmond upon thames,not recovered,mar-2019
redbridge,not recovered,mar-2019
hillingdon,not recovered,mar-2019
tower hamlets,not recovered,mar-2019
merton,not recovered,mar-2019
hounslow,not recovered,mar-2019
wandsworth,not recovered,mar-2019
lambeth,not recovered,mar-2019
kensington and chelsea,not recovered,apr-2019
hillingdon,not recovered,apr-2019
westminster,not recovered,apr-2019
newham,not recovered,apr-2019
barnet,not recovered,apr-2019
bromley,not recovered,apr-2019
wandsworth,not recovered,apr-2019
hackney,not recovered,apr-2019
barnet,not recovered,apr-2019
wandsworth,not recovered,apr-2019
hounslow,not recovered,may-2019
ealing,not recovered,may-2019
greenwich,not recovered,may-2019
barking and dagenham,not recovered,may-2019
barking and dagenham,not recovered,may-2019
haringey,not recovered,may-2019
westminster,not recovered,may-2019
newham,not recovered,may-2019
redbridge,not recovered,may-2019
merton,recovered,may-2019
lambeth,not recovered,may-2019
hammersmith and fulham,recovered,may-2019
ealing,not recovered,may-2019
lewisham,not recovered,may-2019
barking and dagenham,not recovered,may-2019
newham,not recovered,may-2019
lewisham,not recovered,may-2019
kensington and chelsea,not recovered,may-2019
southwark,not recovered,may-2019
hackney,not recovered,may-2019
barnet,not recovered,may-2019
newham,not recovered,may-2019
kensington and chelsea,not recovered,may-2019
hillingdon,not recovered,may-2019
bexley,not recovered,may-2019
enfield,not recovered,may-2019
waltham forest,not recovered,may-2019
havering,not recovered,may-2019
hackney,not recovered,may-2019
hammersmith and fulham,not recovered,may-2019
lewisham,not recovered,may-2019
tower hamlets,not recovered,may-2019
bromley,not recovered,jun-2019
bromley,not recovered,jun-2019
kensington and chelsea,not recovered,jun-2019
newham,not recovered,jun-2019
bromley,not recovered,jun-2019
bromley,not recovered,jun-2019
camden,not recovered,jun-2019
bexley,not recovered,jun-2019
kingston upon thames,not recovered,jun-2019
lewisham,not recovered,jun-2019
newham,not recovered,jun-2019
enfield,not recovered,jun-2019
westminster,not recovered,jun-2019
redbridge,not recovered,jun-2019
lewisham,not recovered,jun-2019
camden,not recovered,jun-2019
bromley,not recovered,jun-2019
hillingdon,not recovered,jun-2019
barnet,not recovered,jun-2019
croydon,not recovered,jun-2019
barnet,not recovered,jun-2019
greenwich,not recovered,jun-2019
merton,not recovered,jun-2019
westminster,not recovered,jun-2019
bromley,not recovered,jun-2019
westminster,not recovered,jun-2019
richmond upon thames,not recovered,jun-2019
tower hamlets,not recovered,jun-2019
richmond upon thames,recovered,jun-2019
lewisham,not recovered,jun-2019
newham,not recovered,jun-2019
barnet,not recovered,jul-2019
croydon,not recovered,jul-2019
harrow,not recovered,jul-2019
lewisham,not recovered,jul-2019
wandsworth,not recovered,jul-2019
haringey,not recovered,jul-2019
hillingdon,not recovered,jul-2019
camden,not recovered,jul-2019
hammersmith and fulham,recovered,jul-2019
southwark,not recovered,jul-2019
enfield,not recovered,jul-2019
westminster,not recovered,jul-2019
ealing,not recovered,jul-2019
waltham forest,recovered,jul-2019
waltham forest,recovered,jul-2019
havering,not recovered,jul-2019
enfield,not recovered,jul-2019
camden,recovered,jul-2019
wandsworth,recovered,jul-2019
hillingdon,not recovered,jul-2019
hammersmith and fulham,not recovered,jul-2019
camden,not recovered,jul-2019
greenwich,not recovered,jul-2019
wandsworth,not recovered,jul-2019
enfield,not recovered,jul-2019
haringey,not recovered,jul-2019
hammersmith and fulham,recovered,jul-2019
havering,recovered,jul-2019
greenwich,not recovered,aug-2019
hackney,not recovered,aug-2019
haringey,not recovered,aug-2019
greenwich,not recovered,aug-2019
southwark,not recovered,aug-2019
barnet,not recovered,aug-2019
croydon,not recovered,aug-2019
bromley,not recovered,aug-2019
newham,recovered,aug-2019
merton,not recovered,aug-2019
ealing,not recovered,aug-2019
croydon,recovered,aug-2019
hammersmith and fulham,not recovered,aug-2019
tower hamlets,not recovered,aug-2019
haringey,not recovered,aug-2019
bromley,not recovered,aug-2019
richmond upon thames,recovered,aug-2019
croydon,not recovered,aug-2019
barnet,not recovered,aug-2019
barnet,not recovered,aug-2019
greenwich,not recovered,aug-2019
greenwich,not recovered,aug-2019
ealing,not recovered,aug-2019
sutton,not recovered,aug-2019
kingston upon thames,not recovered,aug-2019
camden,not recovered,aug-2019
tower hamlets,not recovered,aug-2019
lewisham,not recovered,aug-2019
barking and dagenham,not recovered,aug-2019
tower hamlets,not recovered,sep-2019
hackney,not recovered,sep-2019
haringey,not recovered,sep-2019
hackney,not recovered,sep-2019
hammersmith and fulham,not recovered,sep-2019
lewisham,not recovered,sep-2019
lewisham,not recovered,sep-2019
harrow,not recovered,sep-2019
barking and dagenham,not recovered,sep-2019
croydon,not recovered,sep-2019
croydon,not recovered,sep-2019
greenwich,not recovered,sep-2019
redbridge,recovered,sep-2019
hounslow,not recovered,sep-2019
lewisham,not recovered,sep-2019
lewisham,not recovered,sep-2019
southwark,not recovered,sep-2019
hackney,not recovered,sep-2019
croydon,recovered,sep-2019
haringey,not recovered,sep-2019
enfield,not recovered,sep-2019
merton,not recovered,sep-2019
southwark,not recovered,oct-2019
hounslow,not recovered,oct-2019
lewisham,not recovered,oct-2019
barnet,not recovered,oct-2019
lambeth,not recovered,oct-2019
westminster,not recovered,oct-2019
tower hamlets,not recovered,oct-2019
tower hamlets,not recovered,oct-2019
tower hamlets,not recovered,oct-2019
hillingdon,not recovered,oct-2019
westminster,not recovered,oct-2019
tower hamlets,not recovered,oct-2019
lewisham,not recovered,oct-2019
tower hamlets,not recovered,oct-2019
enfield,not recovered,oct-2019
bexley,not recovered,oct-2019
newham,not recovered,oct-2019
newham,not recovered,oct-2019
newham,not recovered,oct-2019
newham,not recovered,oct-2019
newham,not recovered,oct-2019
camden,not recovered,oct-2019
southwark,not recovered,oct-2019
wandsworth,not recovered,oct-2019
havering,recovered,oct-2019
bromley,not recovered,oct-2019
croydon,not recovered,oct-2019
enfield,not recovered,oct-2019
tower hamlets,not recovered,oct-2019
brent,not recovered,oct-2019
islington,recovered,oct-2019
barking and dagenham,recovered,oct-2019
wandsworth,not recovered,oct-2019
newham,not recovered,oct-2019
hillingdon,not recovered,oct-2019
havering,not recovered,oct-2019
redbridge,recovered,oct-2019
richmond upon thames,not recovered,oct-2019
lambeth,recovered,oct-2019
hounslow,not recovered,nov-2019
newham,recovered,nov-2019
ealing,not recovered,nov-2019
barking and dagenham,not recovered,nov-2019
bexley,not recovered,nov-2019
haringey,not recovered,nov-2019
ealing,not recovered,nov-2019
harrow,not recovered,nov-2019
bromley,not recovered,nov-2019
kensington and chelsea,not recovered,nov-2019
greenwich,not recovered,nov-2019
newham,recovered,nov-2019
enfield,not recovered,nov-2019
croydon,recovered,nov-2019
newham,not recovered,nov-2019
croydon,not recovered,nov-2019
enfield,not recovered,nov-2019
bromley,not recovered,nov-2019
croydon,not recovered,nov-2019
haringey,not recovered,nov-2019
islington,not recovered,nov-2019
lewisham,not recovered,nov-2019
wandsworth,not recovered,nov-2019
croydon,recovered,nov-2019
camden,recovered,nov-2019
brent,not recovered,nov-2019
barnet,not recovered,nov-2019
hammersmith and fulham,not recovered,oct-2019
bromley,not recovered,nov-2019
southwark,not recovered,nov-2019
bromley,not recovered,oct-2019
lambeth,not recovered,oct-2019
camden,recovered,dec-2019
hounslow,not recovered,dec-2019
tower hamlets,not recovered,dec-2019
redbridge,recovered,dec-2019
bromley,not recovered,dec-2019
hackney,not recovered,dec-2019
greenwich,recovered,dec-2019
hammersmith and fulham,not recovered,dec-2019
bexley,not recovered,dec-2019
wandsworth,not recovered,dec-2019
waltham forest,not recovered,dec-2019
greenwich,not recovered,dec-2019
greenwich,not recovered,dec-2019
sutton,not recovered,dec-2019
hackney,not recovered,dec-2019
greenwich,not recovered,dec-2019
hounslow,not recovered,dec-2019
enfield,not recovered,dec-2019
croydon,not recovered,dec-2019
westminster,not recovered,dec-2019
barking and dagenham,not recovered,dec-2019
enfield,recovered,dec-2019
kensington and chelsea,not recovered,dec-2019
greenwich,not recovered,dec-2019
wandsworth,not recovered,jan-2020
hounslow,not recovered,jan-2020
richmond upon thames,not recovered,jan-2020
hillingdon,recovered,jan-2020
lambeth,not recovered,jan-2020
merton,not recovered,jan-2020
ealing,recovered,jan-2020
bromley,not recovered,jan-2020
bromley,not recovered,jan-2020
croydon,not recovered,jan-2020
waltham forest,not recovered,jan-2020
barking and dagenham,not recovered,jan-2020
enfield,not recovered,jan-2020
havering,not recovered,jan-2020
hammersmith and fulham,not recovered,jan-2020
wandsworth,not recovered,feb-2020
hillingdon,not recovered,feb-2020
hillingdon,not recovered,feb-2020
lambeth,not recovered,feb-2020
brent,not recovered,feb-2020
brent,not recovered,feb-2020
camden,not recovered,feb-2020
barnet,not recovered,feb-2020
haringey,recovered,feb-2020
bromley,not recovered,feb-2020
bromley,not recovered,feb-2020
bromley,not recovered,feb-2020
bromley,not recovered,feb-2020
croydon,not recovered,feb-2020
croydon,not recovered,feb-2020
tower hamlets,not recovered,feb-2020
redbridge,not recovered,feb-2020
hackney,not recovered,feb-2020
barking and dagenham,not recovered,feb-2020
barking and dagenham,not recovered,feb-2020
enfield,not recovered,feb-2020
enfield,not recovered,feb-2020
hackney,not recovered,jan-2020
hackney,not recovered,jan-2020
kingston upon thames,not recovered,feb-2020
wandsworth,not recovered,mar-2020
kingston upon thames,not recovered,mar-2020
hounslow,not recovered,mar-2020
brent,not recovered,mar-2020
brent,not recovered,mar-2020
islington,not recovered,mar-2020
haringey,not recovered,mar-2020
southwark,not recovered,mar-2020
bromley,recovered,mar-2020
greenwich,not recovered,mar-2020
croydon,not recovered,mar-2020
redbridge,not recovered,mar-2020
redbridge,not recovered,mar-2020
hackney,recovered,mar-2020
barking and dagenham,not recovered,mar-2020
barking and dagenham,not recovered,mar-2020
enfield,not recovered,mar-2020
enfield,not recovered,mar-2020
newham,not recovered,mar-2020
wandsworth,recovered,apr-2020
wandsworth,not recovered,apr-2020
wandsworth,not recovered,apr-2020
kingston upon thames,recovered,apr-2020
kingston upon thames,not recovered,apr-2020
richmond upon thames,not recovered,apr-2020
hillingdon,not recovered,apr-2020
brent,not recovered,apr-2020
harrow,not recovered,apr-2020
camden,not recovered,apr-2020
southwark,not recovered,apr-2020
lewisham,not recovered,apr-2020
bromley,not recovered,apr-2020
croydon,not recovered,apr-2020
tower hamlets,recovered,apr-2020
tower hamlets,recovered,apr-2020
tower hamlets,recovered,apr-2020
tower hamlets,recovered,apr-2020
barking and dagenham,recovered,apr-2020
kensington and chelsea,not recovered,apr-2020
hammersmith and fulham,not recovered,apr-2020
hounslow,recovered,apr-2020
wandsworth,not recovered,may-2020
richmond upon thames,not recovered,may-2020
lambeth,recovered,may-2020
camden,not recovered,may-2020
camden,not recovered,may-2020
camden,not recovered,may-2020
croydon,not recovered,may-2020
southwark,not recovered,may-2020
southwark,not recovered,may-2020
lewisham,not recovered,may-2020
lewisham,not recovered,may-2020
bromley,not recovered,may-2020
greenwich,not recovered,may-2020
croydon,not recovered,may-2020
hackney,not recovered,may-2020
hackney,not recovered,may-2020
hackney,not recovered,may-2020
waltham forest,not recovered,may-2020
enfield,recovered,may-2020
lambeth,not recovered,may-2020
hammersmith and fulham,not recovered,may-2020
westminster,not recovered,may-2020
wandsworth,not recovered,jun-2020
richmond upon thames,not recovered,jun-2020
richmond upon thames,recovered,jun-2020
merton,recovered,jun-2020
harrow,not recovered,jun-2020
camden,not recovered,jun-2020
camden,not recovered,jun-2020
ealing,not recovered,jun-2020
lewisham,not recovered,jun-2020
bromley,not recovered,jun-2020
bromley,not recovered,jun-2020
croydon,not recovered,jun-2020
sutton,not recovered,jun-2020
tower hamlets,not recovered,jun-2020
tower hamlets,not recovered,jun-2020
tower hamlets,not recovered,jun-2020
hackney,not recovered,jun-2020
hackney,not recovered,jun-2020
hackney,not recovered,jun-2020
waltham forest,not recovered,jun-2020
enfield,not recovered,jun-2020
havering,not recovered,jun-2020
wandsworth,not recovered,jul-2020
hillingdon,not recovered,jul-2020
harrow,not recovered,jul-2020
camden,not recovered,jul-2020
camden,not recovered,jul-2020
barnet,not recovered,jul-2020
islington,not recovered,jul-2020
islington,not recovered,jul-2020
islington,not recovered,jul-2020
islington,not recovered,jul-2020
lewisham,not recovered,jul-2020
lewisham,not recovered,jul-2020
greenwich,recovered,jul-2020
croydon,not recovered,jul-2020
bexley,not recovered,jul-2020
hackney,recovered,jul-2020
waltham forest,not recovered,jul-2020
barking and dagenham,not recovered,jul-2020
kensington and chelsea,recovered,jul-2020
hammersmith and fulham,not recovered,jul-2020
westminster,recovered,jul-2020
kingston upon thames,not recovered,jun-2020
wandsworth,not recovered,aug-2020
wandsworth,not recovered,aug-2020
hillingdon,not recovered,aug-2020
hillingdon,not recovered,aug-2020
lambeth,not recovered,aug-2020
lambeth,not recovered,aug-2020
merton,not recovered,aug-2020
brent,not recovered,aug-2020
harrow,not recovered,aug-2020
camden,not recovered,aug-2020
barnet,not recovered,aug-2020
barnet,not recovered,aug-2020
ealing,not recovered,aug-2020
ealing,not recovered,aug-2020
ealing,not recovered,aug-2020
southwark,not recovered,aug-2020
lewisham,recovered,aug-2020
lewisham,not recovered,aug-2020
lewisham,not recovered,aug-2020
redbridge,not recovered,aug-2020
hammersmith and fulham,recovered,aug-2020
brent,not recovered,aug-2020
hounslow,not recovered,sep-2020
hounslow,not recovered,sep-2020
hounslow,not recovered,sep-2020
hillingdon,not recovered,sep-2020
lambeth,not recovered,sep-2020
lambeth,recovered,sep-2020
lambeth,not recovered,sep-2020
merton,not recovered,sep-2020
merton,not recovered,sep-2020
brent,not recovered,sep-2020
brent,not recovered,sep-2020
harrow,not recovered,sep-2020
harrow,not recovered,sep-2020
harrow,not recovered,sep-2020
harrow,not recovered,sep-2020
barnet,not recovered,sep-2020
islington,not recovered,sep-2020
islington,not recovered,sep-2020
haringey,not recovered,sep-2020
southwark,not recovered,sep-2020
southwark,not recovered,sep-2020
bromley,not recovered,sep-2020
bromley,not recovered,sep-2020
croydon,not recovered,sep-2020
croydon,recovered,sep-2020
tower hamlets,not recovered,sep-2020
hackney,not recovered,sep-2020
kensington and chelsea,not recovered,sep-2020
hammersmith and fulham,not recovered,sep-2020
hammersmith and fulham,not recovered,sep-2020
hammersmith and fulham,not recovered,sep-2020
westminster,recovered,sep-2020
westminster,not recovered,sep-2020
wandsworth,not recovered,oct-2020
kingston upon thames,recovered,oct-2020
richmond upon thames,not recovered,oct-2020
richmond upon thames,not recovered,oct-2020
hillingdon,not recovered,oct-2020
lambeth,recovered,oct-2020
harrow,not recovered,oct-2020
harrow,not recovered,oct-2020
ealing,recovered,oct-2020
haringey,not recovered,oct-2020
haringey,recovered,oct-2020
haringey,not recovered,oct-2020
southwark,recovered,oct-2020
croydon,not recovered,oct-2020
croydon,not recovered,oct-2020
bexley,not recovered,oct-2020
sutton,not recovered,oct-2020
tower hamlets,not recovered,oct-2020
redbridge,not recovered,oct-2020
waltham forest,not recovered,oct-2020
barking and dagenham,recovered,oct-2020
barking and dagenham,not recovered,oct-2020
kensington and chelsea,not recovered,oct-2020
hammersmith and fulham,not recovered,oct-2020
wandsworth,not recovered,nov-2020
wandsworth,not recovered,nov-2020
hounslow,not recovered,nov-2020
hillingdon,not recovered,nov-2020
hillingdon,recovered,nov-2020
lambeth,not recovered,nov-2020
ealing,recovered,nov-2020
ealing,not recovered,nov-2020
southwark,not recovered,nov-2020
greenwich,recovered,nov-2020
croydon,not recovered,nov-2020
croydon,not recovered,nov-2020
sutton,not recovered,nov-2020
sutton,not recovered,nov-2020
hackney,not recovered,nov-2020
newham,not recovered,nov-2020
newham,not recovered,nov-2020
newham,not recovered,nov-2020
newham,not recovered,nov-2020
havering,recovered,nov-2020
havering,not recovered,nov-2020
havering,not recovered,nov-2020
havering,not recovered,nov-2020
kensington and chelsea,not recovered,nov-2020
hammersmith and fulham,not recovered,nov-2020
hammersmith and fulham,not recovered,nov-2020
hammersmith and fulham,not recovered,nov-2020
wandsworth,not recovered,dec-2020
hounslow,recovered,dec-2020
hounslow,not recovered,dec-2020
hillingdon,not recovered,dec-2020
hillingdon,not recovered,dec-2020
merton,not recovered,dec-2020
harrow,not recovered,dec-2020
barnet,not recovered,dec-2020
barnet,not recovered,dec-2020
barnet,not recovered,dec-2020
haringey,not recovered,dec-2020
lewisham,not recovered,dec-2020
bromley,not recovered,dec-2020
bromley,not recovered,dec-2020
greenwich,not recovered,dec-2020
croydon,not recovered,dec-2020
croydon,not recovered,dec-2020
croydon,not recovered,dec-2020
redbridge,not recovered,dec-2020
waltham forest,not recovered,dec-2020
newham,recovered,dec-2020
newham,not recovered,dec-2020
newham,not recovered,dec-2020
havering,not recovered,dec-2020
havering,not recovered,dec-2020
havering,not recovered,dec-2020
hammersmith and fulham,not recovered,dec-2020
hammersmith and fulham,not recovered,dec-2020
lambeth,recovered,jan-2021
camden,not recovered,jan-2021
bromley,not recovered,jan-2021
croydon,not recovered,jan-2021
sutton,not recovered,jan-2021
sutton,not recovered,jan-2021
sutton,not recovered,jan-2021
waltham forest,not recovered,jan-2021
enfield,not recovered,jan-2021
enfield,not recovered,jan-2021
enfield,recovered,jan-2021
havering,not recovered,jan-2021
westminster,not recovered,jan-2021
lewisham,not recovered,jan-2021
kingston upon thames,not recovered,feb-2021
kingston upon thames,recovered,feb-2021
harrow,not recovered,feb-2021
barnet,recovered,feb-2021
barnet,not recovered,feb-2021
islington,recovered,feb-2021
islington,not recovered,feb-2021
islington,not recovered,feb-2021
