Count of Stolen Animals,Type of Animal,Borough,Type Of Offence,Animal Recovered,Year and Month
1,Dog,Barking and Dagenham,Burglary,Not Recovered,May-2010
1,Dog,Barking and Dagenham,Burglary,Not Recovered,May-2010
1,Dog,Barking and Dagenham,Burglary,Not Recovered,May-2010
2,Dog,Brent,Theft and Handling,Not Recovered,May-2010
1,Dog,Croydon,Theft and Handling,Not Recovered,May-2010
1,Dog,Camden,Burglary,Not Recovered,May-2010
1,Dog,Greenwich,Burglary,Not Recovered,May-2010
40,Fish,Croydon,Theft and Handling,Not Recovered,May-2010
1,Dog,Enfield,Burglary,Not Recovered,May-2010
1,Dog,Islington,Fraud or Forgery,Not Recovered,May-2010
2,Dog,Enfield,Robbery,Not Recovered,May-2010
1,Reptile,Bromley,Theft and Handling,Not Recovered,May-2010
2,Reptile,Bromley,Theft and Handling,Not Recovered,May-2010
1,Dog,Croydon,Theft and Handling,Not Recovered,May-2010
1,Dog,Redbridge,Theft and Handling,Not Recovered,May-2010
1,Dog,Camden,Theft and Handling,Not Recovered,May-2010
1,Dog,Barnet,Theft and Handling,Not Recovered,May-2010
2,Reptile,Greenwich,Burglary,Not Recovered,May-2010
9,Dog,Lambeth,Theft and Handling,Not Recovered,May-2010
1,Dog,Lambeth,Robbery,Not Recovered,May-2010
1,Dog,Greenwich,Burglary,Not Recovered,May-2010
1,Cat,Greenwich,Burglary,Not Recovered,May-2010
1,Cat,Greenwich,Burglary,Not Recovered,May-2010
6,Dog,Ealing,Burglary,Not Recovered,May-2010
1,Dog,Wandsworth,Burglary,Not Recovered,May-2010
6,Bird,Newham,Burglary,Not Recovered,May-2010
1,Dog,Harrow,Burglary,Recovered,May-2010
1,Dog,Haringey,Theft and Handling,Not Recovered,May-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,May-2010
1,Dog,Newham,Theft and Handling,Not Recovered,May-2010
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,May-2010
8,Dog,Newham,Burglary,Not Recovered,Jun-2010
36,Fish,Newham,Burglary,Not Recovered,Jun-2010
1,Dog,Islington,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Bexley,Theft and Handling,Not Recovered,Jun-2010
1,Mammal (exc Cat and Dog),Lambeth,Theft and Handling,Not Recovered,Jun-2010
1,Mammal (exc Cat and Dog),Brent,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Newham,Theft and Handling,Not Recovered,Jun-2010
2,Bird,Harrow,Burglary,Not Recovered,Jun-2010
2,Reptile,Croydon,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Bromley,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Bromley,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Croydon,Burglary,Not Recovered,Jun-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Southwark,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Sutton,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Harrow,Violence Against the Person,Not Recovered,Jun-2010
1,Dog,Haringey,Robbery,Recovered,Jun-2010
1,Dog,Lewisham,Burglary,Not Recovered,Jun-2010
6,Dog,Newham,Burglary,Not Recovered,Jun-2010
1,Dog,Harrow,Theft and Handling,Not Recovered,Jun-2010
1,Cat,Hackney,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Lambeth,Theft and Handling,Not Recovered,Jun-2010
1,Mammal (exc Cat and Dog),Barnet,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Jun-2010
2,Cat,Bexley,Criminal Damage,Not Recovered,Jun-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,Jun-2010
1,Fish,Hounslow,Theft and Handling,Not Recovered,Jun-2010
1,Fish,Hounslow,Theft and Handling,Not Recovered,Jun-2010
1,Fish,Hounslow,Theft and Handling,Not Recovered,Jun-2010
1,Fish,Hounslow,Theft and Handling,Not Recovered,Jun-2010
1,Fish,Hounslow,Theft and Handling,Not Recovered,Jun-2010
2,Dog,Ealing,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Croydon,Theft and Handling,Not Recovered,Jun-2010
2,Bird,Lewisham,Theft and Handling,Not Recovered,Jun-2010
1,Reptile,Bexley,Theft and Handling,Not Recovered,Jun-2010
1,Mammal (exc Cat and Dog),Kingston upon Thames,Theft and Handling,Not Recovered,Jun-2010
1,Mammal (exc Cat and Dog),Kingston upon Thames,Theft and Handling,Not Recovered,Jun-2010
1,Mammal (exc Cat and Dog),Kingston upon Thames,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Hounslow,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Harrow,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Havering,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Westminster,Theft and Handling,Not Recovered,Jun-2010
8,Bird,Redbridge,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Barking and Dagenham,Robbery,Not Recovered,Jun-2010
10,Bird,Croydon,Theft and Handling,Not Recovered,Jun-2010
1,Cat,Islington,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Haringey,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Jun-2010
1,Dog,Hackney,Burglary,Not Recovered,Jul-2010
12,Fish,Barking and Dagenham,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Ealing,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Richmond upon Thames,Burglary,Not Recovered,Jul-2010
1,Dog,Havering,Burglary,Not Recovered,Jul-2010
1,Dog,Ealing,Theft and Handling,Not Recovered,Jul-2010
1,Reptile,Havering,Theft and Handling,Not Recovered,Jul-2010
1,Fish,Hounslow,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Southwark,Burglary,Not Recovered,Jul-2010
1,Cat,Southwark,Theft and Handling,Not Recovered,Jul-2010
1,Reptile,Islington,Theft and Handling,Not Recovered,Jul-2010
1,Cat,Islington,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Southwark,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Lewisham,Violence Against the Person,Not Recovered,Jul-2010
1,Dog,Brent,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Lambeth,Burglary,Not Recovered,Jul-2010
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Jul-2010
12,Mammal (exc Cat and Dog),Havering,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Enfield,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Barnet,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Barnet,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Barking and Dagenham,Burglary,Not Recovered,Jul-2010
1,Dog,Barking and Dagenham,Burglary,Not Recovered,Jul-2010
1,Dog,Lambeth,Theft and Handling,Not Recovered,Jul-2010
2,Mammal (exc Cat and Dog),Kingston upon Thames,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Redbridge,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Bromley,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Brent,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Barnet,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Jul-2010
1,Cat,Lambeth,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Ealing,Theft and Handling,Not Recovered,Jul-2010
1,Mammal (exc Cat and Dog),Lewisham,Theft and Handling,Recovered,Jul-2010
7,Fish,Greenwich,Theft and Handling,Not Recovered,Jul-2010
1,Fish,Greenwich,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Croydon,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Lambeth,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Newham,Burglary,Not Recovered,Jul-2010
1,Dog,Newham,Burglary,Not Recovered,Jul-2010
10,Fish,Greenwich,Theft and Handling,Not Recovered,Jul-2010
1,Fish,Bexley,Theft and Handling,Not Recovered,Jul-2010
1,Dog,Barnet,Robbery,Not Recovered,Aug-2010
1,Dog,Brent,Theft and Handling,Not Recovered,Aug-2010
2,Bird,Waltham Forest,Burglary,Not Recovered,Aug-2010
1,Mammal (exc Cat and Dog),Bexley,Burglary,Not Recovered,Aug-2010
9,Dog,Havering,Burglary,Not Recovered,Aug-2010
3,Dog,Sutton,Robbery,Not Recovered,Aug-2010
1,Dog,Hackney,Burglary,Not Recovered,Aug-2010
1,Dog,Haringey,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Waltham Forest,Theft and Handling,Recovered,Aug-2010
1,Fish,Havering,Theft and Handling,Not Recovered,Aug-2010
3,Bird,Bromley,Theft and Handling,Not Recovered,Aug-2010
1,Mammal (exc Cat and Dog),Croydon,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Havering,Theft and Handling,Recovered,Aug-2010
1,Bird,Tower Hamlets,Sexual Offences,Not Recovered,Aug-2010
1,Dog,Camden,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Aug-2010
2,Mammal (exc Cat and Dog),Waltham Forest,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Westminster,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Ealing,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Newham,Theft and Handling,Recovered,Aug-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Newham,Theft and Handling,Not Recovered,Aug-2010
1,Reptile,Bromley,Burglary,Not Recovered,Aug-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Southwark,Theft and Handling,Recovered,Aug-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Bromley,Theft and Handling,Not Recovered,Aug-2010
1,Mammal (exc Cat and Dog),Havering,Burglary,Not Recovered,Aug-2010
1,Dog,Westminster,Theft and Handling,Not Recovered,Aug-2010
1,Reptile,Merton,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Lambeth,Theft and Handling,Not Recovered,Aug-2010
2,Fish,Havering,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Harrow,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Southwark,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Aug-2010
2,Cat,Lewisham,Burglary,Not Recovered,Aug-2010
1,Dog,Barnet,Robbery,Not Recovered,Aug-2010
1,Dog,Croydon,Burglary,Not Recovered,Aug-2010
