Count of Stolen Animals,Type of Animal,Borough,Type Of Offence,Animal Recovered,Year and Month
1,Dog,Hackney,Theft and Handling,Not Recovered,Apr-2017
1,Dog,Greenwich,Theft and Handling,Not Recovered,Apr-2017
60,Fish,Sutton,Theft and Handling,Not Recovered,Apr-2017
1,Dog,Lewisham,Theft and Handling,Not Recovered,Apr-2017
4,Cat,Ealing,Theft and Handling,Not Recovered,Apr-2017
1,Cat,Barnet,Criminal Damage,Not Recovered,Apr-2017
1,Dog,Greenwich,Theft and Handling,Not Recovered,Apr-2017
1,Dog,Greenwich,Theft and Handling,Recovered,Apr-2017
1,Dog,Havering,Robbery,Not Recovered,Apr-2017
1,Cat,Haringey,Theft and Handling,Not Recovered,May-2017
1,Dog,Southwark,Theft and Handling,Not Recovered,May-2017
1,Fish,Kingston upon Thames,Burglary,Recovered,May-2017
1,Dog,Greenwich,Theft and Handling,Not Recovered,May-2017
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,May-2017
1,Cat,Redbridge,Burglary,Not Recovered,May-2017
1,Dog,Barnet,Theft and Handling,Not Recovered,May-2017
1,Dog,Enfield,Theft and Handling,Not Recovered,May-2017
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,May-2017
1,Dog,Barnet,Theft and Handling,Not Recovered,May-2017
1,Cat,Hackney,Theft and Handling,Not Recovered,May-2017
1,Cat,Tower Hamlets,Theft and Handling,Not Recovered,May-2017
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,May-2017
1,Dog,Havering,Theft and Handling,Not Recovered,May-2017
1,Dog,Westminster,Theft and Handling,Not Recovered,May-2017
1,Dog,Newham,Theft and Handling,Not Recovered,May-2017
1,Arachnid,Hackney,Theft and Handling,Not Recovered,May-2017
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,May-2017
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,May-2017
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,May-2017
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,May-2017
1,Cat,Enfield,Theft and Handling,Not Recovered,May-2017
1,Dog,Harrow,Burglary,Recovered,May-2017
1,Dog,Islington,Theft and Handling,Not Recovered,May-2017
1,Dog,Camden,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Camden,Theft and Handling,Recovered,Jun-2017
1,Dog,Bromley,Burglary,Not Recovered,Jun-2017
1,Cat,Camden,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Greenwich,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Tower Hamlets,Other Notifiable Offences,Not Recovered,Jun-2017
2,Bird,Camden,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Haringey,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Greenwich,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Haringey,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Haringey,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Haringey,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Sutton,Burglary,Not Recovered,Jun-2017
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Sutton,Other Notifiable Offences,Not Recovered,Jun-2017
1,Cat,Newham,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Islington,Theft and Handling,Not Recovered,Jun-2017
1,Cat,Barnet,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Southwark,Theft and Handling,Not Recovered,Jun-2017
3,Bird,Bexley,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Sutton,Burglary,Not Recovered,Jun-2017
1,Cat,Enfield,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Westminster,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Hillingdon,Burglary,Not Recovered,Jun-2017
1,Cat,Brent,Theft and Handling,Not Recovered,Jun-2017
3,Cat,Islington,Violence Against the Person,Not Recovered,Jun-2017
1,Dog,Southwark,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Lewisham,Violence Against the Person,Not Recovered,Jun-2017
1,Dog,Haringey,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Bromley,Robbery,Not Recovered,Jun-2017
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Redbridge,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Hackney,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Hackney,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Hackney,Theft and Handling,Recovered,Jun-2017
1,Dog,Westminster,Theft and Handling,Recovered,Jun-2017
1,Dog,Barnet,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Redbridge,Theft and Handling,Not Recovered,Jun-2017
2,Dog,Ealing,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Greenwich,Robbery,Not Recovered,Jun-2017
1,Dog,Croydon,Theft and Handling,Not Recovered,Jun-2017
1,Dog,Camden,Theft and Handling,Recovered,Jul-2017
1,Dog,Lewisham,Theft and Handling,Recovered,Jul-2017
1,Cat,Haringey,Burglary,Not Recovered,Jul-2017
6,Dog,Ealing,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Hammersmith and Fulham,Robbery,Not Recovered,Jul-2017
1,Cat,Tower Hamlets,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Barking and Dagenham,Burglary,Recovered,Jul-2017
1,Dog,Croydon,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Barking and Dagenham,Theft and Handling,Recovered,Jul-2017
1,Dog,Brent,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Islington,Violence Against the Person,Recovered,Jul-2017
1,Dog,Islington,Violence Against the Person,Recovered,Jul-2017
1,Mammal (exc Cat and Dog),Hillingdon,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Lambeth,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Southwark,Theft and Handling,Not Recovered,Jul-2017
20,Fish,Lewisham,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Barnet,Theft and Handling,Not Recovered,Jul-2017
1,Cat,Haringey,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Enfield,Violence Against the Person,Not Recovered,Jul-2017
3,Bird,Tower Hamlets,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Barnet,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Croydon,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Jul-2017
1,Cat,Hounslow,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Bromley,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Bexley,Theft and Handling,Not Recovered,Jul-2017
1,Cat,Islington,Theft and Handling,Not Recovered,Jul-2017
1,Bird,Brent,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Sutton,Theft and Handling,Not Recovered,Jul-2017
1,Mammal (exc Cat and Dog),Greenwich,Burglary,Not Recovered,Jul-2017
1,Dog,Hackney,Theft and Handling,Not Recovered,Jul-2017
1,Dog,Ealing,Theft and Handling,Recovered,Jul-2017
1,Dog,Hounslow,Burglary,Not Recovered,Jul-2017
1,Dog,Barnet,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Barking and Dagenham,Burglary,Not Recovered,Aug-2017
1,Dog,Croydon,Burglary,Not Recovered,Aug-2017
1,Bird,Sutton,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Greenwich,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Bromley,Burglary,Not Recovered,Aug-2017
1,Fish,Hounslow,Theft and Handling,Recovered,Aug-2017
1,Bird,Sutton,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Croydon,Theft and Handling,Not Recovered,Aug-2017
2,Dog,Redbridge,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Newham,Criminal Damage,Not Recovered,Aug-2017
1,Dog,Hackney,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Kingston upon Thames,Burglary,Not Recovered,Aug-2017
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Southwark,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Lewisham,Theft and Handling,Not Recovered,Aug-2017
1,Cat,Wandsworth,Theft and Handling,Not Recovered,Aug-2017
2,Dog,Bexley,Theft and Handling,Not Recovered,Aug-2017
1,Mammal (exc Cat and Dog),Waltham Forest,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Brent,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Sutton,Theft and Handling,Not Recovered,Aug-2017
2,Cat,Croydon,Theft and Handling,Not Recovered,Aug-2017
20,Bird,Brent,Burglary,Not Recovered,Aug-2017
1,Dog,Hackney,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Lewisham,Theft and Handling,Not Recovered,Aug-2017
1,Dog,Redbridge,Theft and Handling,Not Recovered,Sep-2017
2,Cat,Tower Hamlets,Theft and Handling,Not Recovered,Sep-2017
1,Bird,Tower Hamlets,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Camden,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Camden,Theft and Handling,Not Recovered,Sep-2017
2,Cat,Newham,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Camden,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Westminster,Burglary,Not Recovered,Sep-2017
1,Cat,Hackney,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Bromley,Theft and Handling,Not Recovered,Sep-2017
1,Bird,Tower Hamlets,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Enfield,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Lewisham,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Bromley,Theft and Handling,Recovered,Sep-2017
1,Dog,Ealing,Theft and Handling,Not Recovered,Sep-2017
1,Cat,Bromley,Theft and Handling,Not Recovered,Sep-2017
1,Fish,Croydon,Theft and Handling,Not Recovered,Sep-2017
1,Cat,Redbridge,Theft and Handling,Not Recovered,Sep-2017
1,Mammal (exc Cat and Dog),Richmond upon Thames,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Barnet,Burglary,Recovered,Sep-2017
1,Cat,Enfield,Theft and Handling,Not Recovered,Sep-2017
1,Mammal (exc Cat and Dog),Westminster,Criminal Damage,Recovered,Sep-2017
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Merton,Theft and Handling,Not Recovered,Sep-2017
1,Cat,Merton,Theft and Handling,Not Recovered,Sep-2017
1,Dog,Islington,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Lewisham,Theft and Handling,Not Recovered,Oct-2017
1,Mammal (exc Cat and Dog),Enfield,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Westminster,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Hillingdon,Theft and Handling,Recovered,Oct-2017
2,Cat,Greenwich,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Lambeth,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Hackney,Burglary,Not Recovered,Oct-2017
1,Dog,Hackney,Burglary,Not Recovered,Oct-2017
1,Dog,Westminster,Violence Against the Person,Not Recovered,Oct-2017
1,Dog,Bromley,Theft and Handling,Recovered,Oct-2017
1,Dog,Lambeth,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Haringey,Theft and Handling,Not Recovered,Oct-2017
1,Reptile,Redbridge,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Islington,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Greenwich,Theft and Handling,Recovered,Oct-2017
1,Dog,Hackney,Theft and Handling,Recovered,Oct-2017
1,Reptile,Wandsworth,Burglary,Not Recovered,Oct-2017
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Oct-2017
1,Cat,Richmond upon Thames,Theft and Handling,Not Recovered,Oct-2017
3,Insect,Bexley,Theft and Handling,Not Recovered,Oct-2017
1,Reptile,Enfield,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Greenwich,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Lambeth,Theft and Handling,Not Recovered,Oct-2017
1,Dog,Westminster,Theft and Handling,Recovered,Oct-2017
1,Dog,Havering,Theft and Handling,Recovered,Oct-2017
1,Dog,Haringey,Fraud or Forgery,Recovered,Nov-2017
1,Dog,Richmond upon Thames,Theft and Handling,Not Recovered,Nov-2017
1,Dog,Enfield,Theft and Handling,Not Recovered,Nov-2017
1,Dog,Westminster,Theft and Handling,Not Recovered,Nov-2017
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Nov-2017
1,Mammal (exc Cat and Dog),Bromley,Theft and Handling,Not Recovered,Nov-2017
1,Dog,Bromley,Theft and Handling,Not Recovered,Nov-2017
1,Cat,Tower Hamlets,Theft and Handling,Not Recovered,Nov-2017
1,Cat,Lambeth,Theft and Handling,Not Recovered,Nov-2017
6,Cat,Hillingdon,Burglary,Not Recovered,Nov-2017
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,Nov-2017
1,Cat,Barnet,Theft and Handling,Not Recovered,Nov-2017
10,Fish,Kingston upon Thames,Criminal Damage,Not Recovered,Nov-2017
1,Cat,Richmond upon Thames,Theft and Handling,Not Recovered,Nov-2017
1,Dog,Lambeth,Theft and Handling,Not Recovered,Nov-2017
1,Cat,Waltham Forest,Theft and Handling,Not Recovered,Nov-2017
1,Cat,Waltham Forest,Theft and Handling,Not Recovered,Nov-2017
1,Cat,Waltham Forest,Theft and Handling,Not Recovered,Nov-2017
1,Dog,Newham,Theft and Handling,Not Recovered,Nov-2017
1,Cat,Barnet,Criminal Damage,Not Recovered,Nov-2017
1,Cat,Ealing,Theft and Handling,Not Recovered,Nov-2017
1,Dog,Bromley,Theft and Handling,Not Recovered,Nov-2017
1,Cat,Redbridge,Violence Against the Person,Not Recovered,Dec-2017
2,Cat,Barking and Dagenham,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Dec-2017
5,Bird,Enfield,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Haringey,Theft and Handling,Not Recovered,Dec-2017
1,Cat,Hillingdon,Theft and Handling,Recovered,Dec-2017
1,Cat,Ealing,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Harrow,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Lambeth,Theft and Handling,Not Recovered,Dec-2017
1,Cat,Redbridge,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Barnet,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Westminster,Robbery,Not Recovered,Dec-2017
1,Dog,Hillingdon,Burglary,Not Recovered,Dec-2017
1,Dog,Westminster,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Tower Hamlets,Burglary,Not Recovered,Dec-2017
2,Bird,Enfield,Burglary,Not Recovered,Dec-2017
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Islington,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Dec-2017
1,Dog,Brent,Violence Against the Person,Recovered,Dec-2017
2,Fish,Bexley,Theft and Handling,Not Recovered,Dec-2017
1,Reptile,Tower Hamlets,Burglary,Not Recovered,Jan-2018
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Jan-2018
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Jan-2018
1,Dog,Barnet,Theft and Handling,Not Recovered,Jan-2018
1,Mammal (exc Cat and Dog),Bromley,Criminal Damage,Recovered,Jan-2018
1,Dog,Redbridge,Theft and Handling,Not Recovered,Jan-2018
1,Dog,Ealing,Burglary,Not Recovered,Jan-2018
1,Dog,Hackney,Theft and Handling,Not Recovered,Jan-2018
1,Dog,Bexley,Theft and Handling,Not Recovered,Jan-2018
1,Reptile,Lambeth,Burglary,Not Recovered,Jan-2018
1,Dog,Hounslow,Theft and Handling,Not Recovered,Jan-2018
1,Dog,Bromley,Theft and Handling,Not Recovered,Jan-2018
1,Cat,Hammersmith and Fulham,Theft and Handling,Recovered,Jan-2018
1,Dog,Camden,Burglary,Not Recovered,Jan-2018
1,Dog,Greenwich,Theft and Handling,Not Recovered,Jan-2018
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Jan-2018
1,Dog,Lewisham,Theft and Handling,Not Recovered,Jan-2018
1,Dog,Lewisham,Theft and Handling,Not Recovered,Jan-2018
1,Dog,Lambeth,Theft and Handling,Not Recovered,Jan-2018
3,Mammal (exc Cat and Dog),Hounslow,Burglary,Not Recovered,Jan-2018
1,Dog,Haringey,Theft and Handling,Not Recovered,Jan-2018
1,Cat,Merton,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Lewisham,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Enfield,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Enfield,Theft and Handling,Not Recovered,Feb-2018
1,Cat,Brent,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Sutton,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Enfield,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Islington,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Lewisham,Theft and Handling,Not Recovered,Feb-2018
4,Cat,Hackney,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Havering,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Havering,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Bromley,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Enfield,Theft and Handling,Not Recovered,Feb-2018
7,Bird,Croydon,Theft and Handling,Not Recovered,Feb-2018
1,Cat,Bromley,Burglary,Not Recovered,Feb-2018
1,Dog,Westminster,Burglary,Not Recovered,Feb-2018
2,Dog,Lambeth,Other Notifiable Offences,Not Recovered,Feb-2018
1,Dog,Wandsworth,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Lambeth,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Lewisham,Burglary,Recovered,Feb-2018
1,Cat,Wandsworth,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Lewisham,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Feb-2018
1,Mammal (exc Cat and Dog),Hillingdon,Burglary,Not Recovered,Feb-2018
1,Mammal (exc Cat and Dog),Hillingdon,Burglary,Not Recovered,Feb-2018
1,Dog,Hounslow,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Harrow,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Bexley,Theft and Handling,Not Recovered,Feb-2018
1,Dog,Lambeth,Violence Against the Person,Recovered,Mar-2018
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Camden,Theft and Handling,Not Recovered,Mar-2018
2,Dog,Islington,Burglary,Not Recovered,Mar-2018
1,Dog,Merton,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Camden,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Bromley,Theft and Handling,Not Recovered,Mar-2018
2,Dog,Newham,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Barking and Dagenham,Other Notifiable Offences,Not Recovered,Mar-2018
1,Dog,Barnet,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Ealing,Theft and Handling,Recovered,Mar-2018
1,Reptile,Tower Hamlets,Burglary,Recovered,Mar-2018
1,Dog,Hounslow,Theft and Handling,Not Recovered,Mar-2018
1,Cat,Ealing,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Haringey,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Havering,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Croydon,Theft and Handling,Not Recovered,Mar-2018
1,Mammal (exc Cat and Dog),Tower Hamlets,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Hillingdon,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Haringey,Burglary,Not Recovered,Mar-2018
1,Mammal (exc Cat and Dog),Hounslow,Theft and Handling,Not Recovered,Mar-2018
2,Reptile,Lewisham,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Bexley,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Harrow,Theft and Handling,Not Recovered,Mar-2018
1,Cat,Haringey,Theft and Handling,Not Recovered,Mar-2018
1,Cat,Haringey,Theft and Handling,Not Recovered,Mar-2018
1,Cat,Haringey,Theft and Handling,Not Recovered,Mar-2018
2,Bird,Newham,Theft and Handling,Not Recovered,Mar-2018
1,Dog,Hackney,Theft and Handling,Recovered,Apr-2018
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Apr-2018
2,Bird,Ealing,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Haringey,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Ealing,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Southwark,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Enfield,Theft and Handling,Not Recovered,Apr-2018
2,Fish,Hillingdon,Theft and Handling,Not Recovered,Apr-2018
2,Mammal (exc Cat and Dog),Sutton,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Southwark,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Havering,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Lewisham,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Lambeth,Theft and Handling,Not Recovered,Apr-2018
1,Cat,Brent,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Lambeth,Robbery,Not Recovered,Apr-2018
1,Dog,Barnet,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Croydon,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Havering,Theft and Handling,Not Recovered,Apr-2018
1,Dog,Southwark,Theft and Handling,Not Recovered,Apr-2018
1,Cat,Haringey,Theft and Handling,Not Recovered,Apr-2018
1,Cat,Lambeth,Theft and Handling,Not Recovered,Apr-2018
4,Dog,Barking and Dagenham,Robbery,Not Recovered,Apr-2018
1,Dog,Croydon,Theft and Handling,Not Recovered,May-2018
1,Dog,Havering,Burglary,Not Recovered,May-2018
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,May-2018
1,Dog,Croydon,Theft and Handling,Not Recovered,May-2018
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,May-2018
1,Cat,Newham,Theft and Handling,Not Recovered,May-2018
1,Dog,Bromley,Burglary,Not Recovered,May-2018
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,May-2018
1,Cat,Tower Hamlets,Theft and Handling,Not Recovered,May-2018
1,Dog,Waltham Forest,Robbery,Not Recovered,May-2018
1,Dog,Hounslow,Theft and Handling,Not Recovered,May-2018
1,Mammal (exc Cat and Dog),Ealing,Theft and Handling,Not Recovered,May-2018
1,Reptile,Bromley,Theft and Handling,Not Recovered,May-2018
1,Cat,Westminster,Theft and Handling,Not Recovered,May-2018
1,Dog,Camden,Theft and Handling,Not Recovered,May-2018
1,Dog,Southwark,Theft and Handling,Not Recovered,May-2018
1,Mammal (exc Cat and Dog),Bexley,Theft and Handling,Recovered,May-2018
6,Fish,Hillingdon,Theft and Handling,Not Recovered,May-2018
1,Dog,Croydon,Theft and Handling,Not Recovered,May-2018
1,Mammal (exc Cat and Dog),Croydon,Theft and Handling,Not Recovered,May-2018
1,Dog,Haringey,Theft and Handling,Not Recovered,May-2018
1,Dog,Barnet,Burglary,Not Recovered,May-2018
1,Mammal (exc Cat and Dog),Kingston upon Thames,Burglary,Not Recovered,May-2018
1,Dog,Lewisham,Theft and Handling,Not Recovered,May-2018
1,Dog,Wandsworth,Theft and Handling,Recovered,May-2018
1,Cat,Brent,Violence Against the Person,Not Recovered,May-2018
1,Dog,Wandsworth,Theft and Handling,Recovered,May-2018
1,Dog,Barnet,Theft and Handling,Not Recovered,May-2018
2,Fish,Bexley,Theft and Handling,Not Recovered,May-2018
1,Dog,Barking and Dagenham,Burglary,Not Recovered,May-2018
1,Dog,Greenwich,Theft and Handling,Not Recovered,May-2018
1,Dog,Tower Hamlets,Robbery,Not Recovered,May-2018
1,Dog,Tower Hamlets,Robbery,Not Recovered,May-2018
32,Fish,Harrow,Theft and Handling,Not Recovered,May-2018
1,Dog,Ealing,Theft and Handling,Not Recovered,May-2018
2,Bird,Richmond upon Thames,Burglary,Not Recovered,May-2018
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,May-2018
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Ealing,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Westminster,Violence Against the Person,Not Recovered,Jun-2018
1,Cat,Lambeth,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Enfield,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Bromley,Sexual Offences,Recovered,Jun-2018
1,Mammal (exc Cat and Dog),Havering,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Hammersmith and Fulham,Theft and Handling,Recovered,Jun-2018
1,Dog,Ealing,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Newham,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Tower Hamlets,Robbery,Recovered,Jun-2018
1,Cat,Hillingdon,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Bromley,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Lambeth,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Islington,Burglary,Recovered,Jun-2018
1,Cat,Redbridge,Theft and Handling,Not Recovered,Jun-2018
1,Cat,Hillingdon,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Kensington and Chelsea,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,Jun-2018
11,Dog,Camden,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Croydon,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Hammersmith and Fulham,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Newham,Theft and Handling,Recovered,Jun-2018
1,Dog,Camden,Robbery,Not Recovered,Jun-2018
1,Cat,Bromley,Criminal Damage,Recovered,Jun-2018
1,Cat,Barking and Dagenham,Theft and Handling,Not Recovered,Jun-2018
1,Cat,Enfield,Burglary,Not Recovered,Jun-2018
1,Dog,Hackney,Theft and Handling,Not Recovered,Jun-2018
1,Dog,Newham,Theft and Handling,Not Recovered,Jun-2018
1,Cat,Merton,Theft and Handling,Not Recovered,Jun-2018
1,Cat,Hammersmith and Fulham,Theft and Handling,Not Recovered,Jun-2018
1,Reptile,Camden,Theft and Handling,Not Recovered,Jul-2018
1,Dog,Islington,Theft and Handling,Not Recovered,Jul-2018
1,Reptile,Croydon,Theft and Handling,Not Recovered,Jul-2018
1,Reptile,Croydon,Theft and Handling,Not Recovered,Jul-2018
